Fecha,Producto ,region,Canal,unidades_vendidas,Precio Unitario,ingreso
2024-12-19,Auriculares,Norte,Online,2,84.99,"169,98"
2025-09-18,Teclado,Centro,Online,4,47.85,"191,40"
2024-02-22,Monitor,Oeste,Distribuidor,5,170.9,"854,50 €"
10/06/2025,Auriculares,?,Tienda,2,84.84,"169,68"
2024-10-30,Mouse,desconocida,Distribuidor,5,20.29,"101,45 €"
12-16-2025,Auriculares,Norte,ONLINE,5,88.36,"441,80 €"
2024-11-01,Auriculares,centro,Tienda,4,93.77,"375,08"
2024-12-31,Teclado,NORTE,Distribuidor,1,37.93,"€37,93"
2024-03-09,Auriculares,Centro,Distribuidor,3,76.78,"230,34"
2025-07-30,Monitor,Centro,on-line,2,215.57,"431,14"
2025-04-08,Auriculares,Oeste,Tienda,1,87.05,"302,40"
2024-11-08,Teclado,  Oeste ,Tienda,3,46.21,"€138,63"
2025-11-12,Mouse,Centro,Tienda,4,24.97,"99,88 €"
2025-07-20,Mouse,  Centro ,Online,1,25.69,"25,69"
2024-11-12,Auriculares,Norte,on-line,2,86.35,"172,70 €"
2025-05-04,Mouse,Este,DISTRIBUIDOR,4,19.66,"78,64"
2025-12-21,Teclado,OESTE,Online,4,43.86,"175,44"
2025-11-21,Mouse,Centro,online,3,25.67,"77,01"
2025-12-25,Auriculares,Centro,Online,3,89.51,"268,53"
2025-12-05,Webcam,SUR,Online,4,67.06,"€268,24 €"
2025-01-19,Mouse,Oeste,Distribuidor,3,20.7,"62,10"
2024-11-01,Mouse,Centro,Online,4,24.63,"98,52 €"
2024-06-18,Mouse,Oeste,Tienda,5,25.24,"126,20"
2025-12-02,Monitor,Este,Tienda,5,219.23,"1.096,15 €"
2025-06-04,Teclado,Sur,Online,2,45.05,"90,10 €"
2025-10-11,Teclado,Norte,Online,2,44.62,"89,24 €"
2024-11-10,Webcam,Norte,Online,3,66.35,"199,05"
2025-09-04,Auriculares,NORTE,Distribuidor,5,76.04,"380,20"
,,,,,,
2025-11-30,Monitor,Norte,Tienda,5,224.83,"1.124,15 €"
2025-02-23,Mouse,SUR,Online,5,23.25,"116,25 €"
2024-04-03,Mouse,Centro,on-line,4,25.21,"100,84"
2025-03-16,Mouse,centro,Online,1,23.73,"23,73"
2024-05-02,Teclado,Norte,Online,4,47.32,"189,28"
2024-12-02,Auriculares,Centro,Online,2,91.46,"182,92"
05-05-2025,Teclado,Sur,Online,3,43.32,"129,96"
10-01-2025,Auriculares,Este,distribuidor,4,69.81,"279,24 €"
2025-12-28,Webcam,desconocida,Online,2,62.19,"124,38"
14/05/2025,Teclado,Centro,Online,2,45.13,"€90,26"
2024-11-03,Monitor,Sur,Tienda,5,208.63,"1.043,15"
2024-10-22, Teclado,Norte,Online,1,44.23,"44,23"
2025-07-08,Webcam,Norte,Distribuidor,4,55.92,"223,68"
2024-05-12,Webcam,Oeste,Online,3,65.59,"196,77"
2024-11-25,MOUSE,Norte,Distribuidor,4,20.8,"83,20"
2024-03-04,Mouse,Centro,TIENDA,3,,"75,21"
2025-01-23,Mouse,Centro,Tienda,1,25.87,"25,87"
2025-12-20, Mouse,desconocida,Online,1,25.11,"25,11 €"
2025-05-06,Teclado,sur,Tienda,3,45.71,"137,13 €"
2024-12-24,Monitor,Sur,Online,1,208.93,"208,93 €"
2024-10-28,Mouse,Oeste,Tienda,5,23.61,"118,05"
2024-03-15,MOUSE,Sur,Distribuidor,4,19.11,"76,44"
2024-02-05,Monitor,Norte,Online,3,216.53,"649,59"
,Monitor,  Centro ,Online,2,222.68,"445,36"
2024-07-14,Teclado,Este,online,5,46.07,"230,35"
2024-06-30, Teclado,Norte,Distribuidor,5,36.48,"182,40 €"
05-19-2025,Auriculares,Oeste,Distribuidor,3,73.59,"220,77"
04/05/2024,AURICULARES,Norte,Tienda física,1,85.12,"85,12"
10-04-2024,Webcam,Centro,Tienda,5,65.84,"329,20 €"
2024-11-29,Auriculares,Oeste,ONLINE,5,84.1,"420,50"
2025-07-26,Teclado,Este,Online,2,46.23,"92,46 €"
2025-07-08,Monitor,Centro,Online,3,NULL,"658,92"
2024-06-12,Mouse,  CENTRO ,Tienda,5,25.42,"127,10"
2025-03-23,Monitor,Norte,Distribuidor,2,184.51,"369,02 €"
2025-07-19,Teclado,Norte,Online,2,44.43,"88,86"
09-16-2025,Auriculares,Centro,Tienda,1,91.22,"91,22 €"
12-24-2025,Mouse,Norte,Online,1,25.63,"25,63"
2024-10-31,AURICULARES,Norte,Distribuidor,5,72.42,"362,10"
2025-03-14,Auriculares,Sur,Online,2,91.35,"182,70"
2025-07-05,Mouse,Norte,Online,1,NULL,"25,77"
2025-08-19,Mouse,Este,Distribuidor,4,20.94,"€83,76 €"
2025-06-14,Mouse,Norte,Online,1,25.97,"25,97"
2025-10-14,Teclado,Sur,Online,3,45.57,"136,71 €"
2024-11-18,Auriculares,Sur,Tienda,1,88.13,"88,13 €"
2024-08-19,Teclado,Oeste,Online,1,46.12,"46,12"
2024-03-09,Mouse,  Norte ,Online,4,24.52,"98,08"
2025-04-09,Monitor,Norte,Distribuidor,2,181.5,"363,00"
04/07/2024,Mouse,Sur,Online,2,24.25,"48,50 €"
2025-11-14,MOUSE,Norte,Tienda,5,24.71,"123,55"
28/10/2025,Mouse,este,ONLINE,5,24.84,"124,20"
03-02-2025,Webcam,Centro,Tienda,4,66.62,"266,48"
2024-02-26,Teclado,Oeste,Distribuidor,5,38.62,"193,10 €"
2025-12-15,Monitor,Sur,Tienda,4,218.9,"875,60 €"
2025-12-07,Teclado,  Sur ,Tienda,3,44.93,"134,79"
,Mouse,Oeste,Tienda,4,25.58,"102,32"
2025-12-03,Mouse,desconocida,Distribuidor,4,20.36,"640,61"
2024-04-05,Mouse,Oeste,Online,5,25.21,"126,05"
2024-11-20,Monitor,Norte,Online,4,NULL,"882,60"
2024-12-22,Auriculares,Centro,Distribuidor,5,70.68,"353,40 €"
2024-12-19,Auriculares,,Tienda,1,92.8,"92,80"
2025-03-27,Teclado,Norte,Online,2,43.47,"86,94"
09-27-2024,Webcam,Norte,TIENDA,3,64.29,"€192,87 €"
2025-10-30,Teclado,Este,Online,5,43.61,"218,05"
2025-10-18,Mouse,Norte,Tienda,2,25.75,"363,21"
2024-01-07,Mouse,Oeste,Online,5,25.15,"125,75"
2025-12-26,Mouse,centro,Distribuidor,5,20.81,"104,05"
2024-11-02,Webcam,Este,Distrib.,3,52.8,"158,40"
2025-11-01,Teclado,Este,Online,1,45.33,"45,33"
2025-05-20,Webcam,oeste,online,2,62.49,"124,98 €"
2025-12-23,Auriculares,Este,Online,2,89.33,"178,66"
09-01-2024,Mouse,Norte,Online,N/A,27.15,"108,60 €"
2025-01-06,Auriculares,Oeste,Online,4,91.93,"367,72"
2025-07-02,Teclado,ESTE,Distribuidor,5,39.05,"195,25"
2024-07-15,Teclado,Norte,Online,5,45.59,"227,95 €"
2024-04-13,Webcam,Este,Online,3,67.0,"201,00"
2025-04-07,Auriculares,Este,Tienda,2,86.28,"172,56"
2024-01-03,Monitor,Este,Online,5,229.68,"1.148,40 €"
2024-12-12,Mouse,Oeste,Tienda,2,27.14,"54,28"
2024-06-22,Monitor,Sur,Tienda,3,222.45,"667,35 €"
2025-12-27,Auriculares,Norte,TIENDA,3,86.11,"258,33"
2024-04-30,Teclado,Oeste,Online,4,48.31,"193,24"
2025-02-01,Mouse,Norte,Online,5,24.9,"124,50 €"
15/05/2024,Auriculares,Sur,Online,1,91.53,"91,53"
2025-12-22,Teclado,Norte,TIENDA,5,44.06,"220,30"
2024-04-06,TECLADO,Norte,Online,3,43.97,"131,91"
2025-06-17,Teclado,Centro,ONLINE,3,45.49,"136,47 €"
25/06/2025,Teclado,Este,Online,1,43.44,"43,44"
2024-11-17,Auriculares,Norte,Distribuidor,4,73.79,"295,16"
2025-04-04,Webcam,Oeste,Tienda,5,64.11,"320,55"
01-07-2025,Mouse,Este,Distribuidor ,4,21.32,"85,28"
2024-04-24,Mouse,Norte,Online,4,25.28,"101,12 €"
2025-05-22,Auriculares,Centro,Distribuidor,1,74.86,"€74,86"
2025-11-25,Mouse,CENTRO,Distribuidor,5,20.12,"100,60"
2025-11-27,Teclado,Norte,Online ,1,44.9,"44,90 €"
2025-11-29, Monitor,Centro,Distribuidor,1,176.86,"176,86 €"
2025-12-22,Teclado,,Tienda,3,45.2,"135,60"
,Auriculares,Oeste,Distribuidor,4,70.98,"283,92"
2024-09-10, Teclado,Centro,Distribuidor,4,40.07,"773,27"
11-06-2024,Auriculares,oeste,Tienda,2,89.49,"178,98"
2024-06-21,MOUSE,SUR,Distribuidor,3,19.83,"59,49 €"
2025-01-27,Auriculares,sur,Online,3,88.08,"264,24 €"
2024-12-04,Auriculares,NORTE,Online,4,NULL,"366,64"
21/11/2024,Monitor,Sur,Tienda,2,218.86,"437,72"
2025-03-06,Monitor,Oeste,Online,5,227.47,"1.137,35"
2025-11-23,Mouse,Sur,Distribuidor,5,19.81,"99,05"
2025-10-19,Mouse,Sur,Online,4,24.91,"99,64 €"
2025-11-22,Auriculares,SUR,distribuidor,4,72.94,"291,76"
2025-01-28,Webcam,Sur,Distribuidor,4,50.87,"€203,48 €"
2024-12-16,Auriculares,Oeste,tienda,5,84.37,"€421,85"
2024-08-06,Auriculares,Sur,Online,4,85.01,"340,04"
2024-11-28,Teclado,Este,Online,1,45.96,"45,96 €"
2025-12-25,Monitor,Sur,Online,3,221.93,"665,79"
2024-06-25,Auriculares,Sur,tienda,3,92.2,"€276,60"
2024-07-19,Mouse,Oeste,Online,1,23.99,"23,99"
2024-10-30,Webcam,  Norte ,Online,5,61.25,"€306,25"
2024-08-22,Auriculares,Norte,Online,5,95.68,"478,40"
17/10/2024,Webcam,norte,Distrib.,5,53.37,"266,85"
11-23-2025,Auriculares,oeste,Tienda,2,87.21,"174,42"
16/11/2025,Mouse,Centro,Tienda,5,24.13,"120,65"
01/11/2025,Monitor,Oeste,Tienda,5,216.27,"1.081,35"
2025-06-29,Mouse,Centro,Online,3,25.48,"76,44 €"
2024-02-19,Auriculares,?,ONLINE,4,89.92,"359,68"
2024-11-24,Mouse,Oeste,online,3,24.88,"74,64 €"
2024-05-31,Monitor,Norte,Tienda física,5,212.62,"1.063,10 €"
2025-06-21,Mouse,oeste,Online,4,24.65,"711,74"
2025-11-04,Monitor,Centro,Online,2,217.74,"435,48"
2024-10-31,Mouse,Oeste,Online,4,25.21,"100,84"
2024-05-22,TECLADO,Norte,Online,5,45.53,"227,65"
2025-07-29,Mouse,ESTE,Distribuidor,N/A,20.41,"81,64"
2024-07-23,Webcam,norte,Online ,3,69.33,"207,99"
2024-11-14,Auriculares,?,Distribuidor,5,77.53,"387,65"
2025-10-04,Auriculares,Este,Distribuidor,3,71.52,"214,56"
2025-12-28,Auriculares,Norte,Online,4,15413.13,"€366,36 €"
2025-11-10,Auriculares,Centro,Online,4,92.69,"370,76"
11-25-2024,Webcam,Norte,Online,5,67.57,"828,61"
2024-11-19,Mouse,Norte,Distribuidor,2,19.98,"39,96"
2025-06-20,Monitor,Este,DISTRIBUIDOR,2,180.87,"361,74 €"
2025-12-25,Auriculares,Sur,Online,1,87.06,"87,06"
2025-06-29,Teclado,Este,tienda,4,46.89,"187,56 €"
2024-10-05,Mouse,oeste,Tienda,2,25.37,"50,74 €"
2024-11-26,Auriculares,Sur,Online,1,90.63,"90,63 €"
16/11/2025,Auriculares,Norte,Distribuidor ,2,NULL,"153,74"
2024-07-18,Mouse,Norte,tienda,1,25.35,"25,35"
2024-05-28,Webcam,Sur,Online,3,62.15,"186,45 €"
2025-04-24,Teclado,Norte,ONLINE,5,44.79,"€223,95 €"
2025-05-17,Monitor,Centro,Distribuidor,2,181.82,"363,64"
2025-06-06,Monitor,SUR,Distrib.,5,178.5,"892,50"
2025-04-25,Teclado,Norte,Tienda,3,45.75,"137,25"
2025-09-21,Mouse,Este,Tienda,5,24.88,"124,40"
2024-11-07,Monitor,Norte,ONLINE,2,228.58,"457,16 €"
08/10/2025,Monitor,Oeste,TIENDA,4,222.39,"889,56 €"
2025-12-19,Teclado,Este,Online,5,45.38,"226,90"
2024-04-20, Teclado,Oeste,Tienda,3,44.85,"134,55"
2024-12-23,Auriculares,Sur,Distribuidor,-3,73.59,"220,77 €"
2025-12-02,Auriculares,Norte,Tienda,1,93.1,"93,10"
2024-02-21,Auriculares,Este,Distribuidor,1,74.13,"74,13"
2025-05-30,Teclado,Centro,Tienda,5,46.69,"233,45 €"
04/12/2025,Teclado,SUR,Online,5,45.32,"226,60"
2024-01-14,Auriculares,Este,Distribuidor,3,73.62,"220,86"
2025-11-26,Teclado,Centro,Tienda,4,43.82,"175,28 €"
2025-12-04,MOUSE,sur,Tienda física,3,24.2,"72,60"
2024-04-15,Monitor,Este,Tienda,4,223.32,"893,28"
2024-08-24,Mouse,Oeste,Online,2,25.5,"51,00 €"
24/02/2024,Mouse,Oeste,Distribuidor,3,19.95,"59,85"
2024-08-07,Auriculares,Oeste,Online,3,88.88,"266,64"
2024-10-13,Webcam,Centro,Online,5,64.33,"321,65 €"
2024-12-01,Auriculares,Norte,Tienda,1,90.28,"90,28 €"
2024-05-25,Mouse,Oeste,Online,null,22.85,"68,55"
2024-02-19,Teclado,norte,Online ,3,44.55,"133,65"
2024-10-16,Webcam,centro,online,4,62.17,"248,68"
2025-03-15,Monitor,Oeste,Distribuidor,3,179.69,"539,07"
2025-10-26,Teclado,?,Online,5,46.12,"€230,60 €"
2024-04-26,Teclado,Oeste,online,4,44.54,"€178,16 €"
2025-01-22,Auriculares,Oeste,online,4,88.88,"355,52 €"
2025-12-05,Auriculares,Sur,Distrib.,1,75.96,"75,96 €"
06-16-2025,Mouse,Norte,Online,3,26.11,"78,33"
2025-07-08,Auriculares,Centro,Online,3,91.8,"275,40 €"
2025-05-10,Auriculares,Este,Tienda,2,86.38,"172,76 €"
2025-06-23,Auriculares,Centro,Online,2,90.6,"181,20"
2025-09-09,Teclado,Sur,Distribuidor,2,36.34,"72,68"
2024-12-11,Auriculares,Este,Distribuidor,null,72.45,"289,80"
2024-08-27,Mouse,Este,online,4,24.45,"97,80 €"
,Auriculares,  Sur ,Tienda,5,92.98,"464,90"
2025-09-24,Monitor,Norte,Online,4,213.49,"853,96 €"
07-21-2025,Mouse,Este,TIENDA,4,24.72,"98,88"
2025-11-11,Mouse,Centro,TIENDA,2,25.0,"50,00"
2025-11-17,Mouse,Centro,Tienda,4,25.58,"102,32"
2025-03-23,Teclado,Centro,Tienda,5,43.76,"218,80"
2025-03-10,Teclado,Este,Tienda,3,44.87,"134,61"
15/04/2025,WEBCAM,Centro,Distribuidor,4,53.26,"213,04"
2024-11-05,Mouse,Norte,online,2,24.63,"49,26"
2025-04-26,Auriculares,Centro,Distribuidor,3,76.65,"€229,95 €"
2024-07-10,Teclado,Oeste,Tienda,4,43.34,"173,36 €"
2025-12-12,Auriculares,ESTE,Distribuidor,4,76.18,"304,72"
2025-10-10,Auriculares,Sur,Tienda,5,95.62,"478,10 €"
2024-10-13,Auriculares,Norte,Online,2,86.09,"81,41"
2024-10-07,Auriculares,Norte,Online,1,92.35,"€92,35 €"
2025-11-19,Teclado,Norte,Tienda,1,46.0,"46,00 €"
2024-07-21,Auriculares,Sur,Online,2,88.0,"176,00"
2025-05-26,Webcam,Oeste,Distribuidor,5,53.95,"269,75"
2024-12-30,Monitor,Este,Online,1,225.82,"225,82"
07/08/2025,Auriculares,Norte,Tienda,2,86.66,"173,32 €"
2024-12-13,MOUSE,Centro,Distribuidor,1,20.86,"20,86 €"
2025-01-06,Auriculares,ESTE,online,3,92.31,"276,93"
2024-12-22,Teclado,Oeste,Online,5,46.13,"230,65"
2025-12-10,Teclado,Este,Online,2,44.3,"88,60"
2025-12-15,Teclado,Centro,Tienda,1,45.73,"€45,73"
2024-10-23,Webcam,Sur,Online,4,64.35,"257,40 €"
2025-12-19,Auriculares,Norte,Distribuidor,4,73.85,"295,40"
2024-08-15,Monitor,Norte,Online,5,233.15,"1.165,75"
2024-03-01,Auriculares,Oeste,Online,NA,96.13,"480,65"
2024-01-15,Teclado,Centro,Online,2,45.88,"91,76"
01/10/2024,MOUSE,Centro,Online,5,23.78,"118,90"
2024-02-03,Auriculares,Norte,online,4,92.59,"370,36"
18/12/2024,Teclado,Norte,Online,3,44.04,"132,12"
2024-01-27,Auriculares,Centro,ONLINE,1,86.99,"86,99"
07/03/2025,Mouse,Norte,Online,5,25.55,"127,75"
2024-11-03,Auriculares,Oeste,Tienda,3,92.78,"278,34 €"
2025-05-30,Mouse,Centro,Online,3,23.84,"€71,52 €"
11-21-2024,Auriculares,  Este ,Online,2,94.71,"189,42"
2024-06-11,Teclado,Norte,Online,1,44.56,"44,56"
2025-01-14,Webcam,Centro,Distribuidor,1,51.9,"51,90"
2024-11-22,Teclado,Norte,Distribuidor,4,36.96,"147,84 €"
2025-12-03,Teclado,Este,Tienda,2,45.76,"91,52"
11/09/2025,Mouse,Norte,Online,3,24.5,"73,50"
2025-11-29,Auriculares,Sur,Tienda,2,90.61,"181,22"
2024-12-12,Mouse,Este,Online,3,25.52,"76,56"
2024-12-05,Monitor,Norte,Online,5,213.79,"€1.068,95 €"
2025-11-12,Auriculares,Este,Online,2,92.49,"184,98"
23/08/2024,Auriculares,Sur,Tienda,2,83.4,"166,80"
2024-11-11,Auriculares,Centro,Online,4,86.87,"347,48 €"
17/03/2025,Webcam,Oeste,Online,1,61.05,"61,05 €"
2024-01-30,Auriculares,Oeste,Distribuidor,5,73.2,"366,00 €"
2025-12-03,Auriculares,Norte,Tienda,2,89.25,"178,50 €"
,,,,,,
11-08-2025,Auriculares,Centro,Online,4,90.09,"360,36"
11/12/2024,Webcam,Sur,Online ,1,64.3,"64,30"
2025-08-21,Teclado,Oeste,tienda,4,43.78,"175,12 €"
2025-02-13,Mouse,Este,Online,4,24.67,"98,68"
2024-08-10,Mouse,,Tienda,2,25.39,"50,78 €"
2025-09-05,Auriculares,centro,Distribuidor,1,73.58,"73,58 €"
28/11/2024,MONITOR,Norte,Online,1,230.91,"230,91 €"
2024-03-12,Teclado,Sur,ONLINE,5,46.52,"€232,60"
2024-12-05,Teclado,  Este ,Online,5,46.31,"€231,55 €"
2025-12-07,TECLADO,Centro,Tienda,2,45.26,"90,52"
2024-05-13,Teclado,Norte,Tienda física,5,45.25,"226,25 €"
2025-08-18,Teclado,Norte,Distribuidor,4,37.79,"€151,16"
2025-11-27,Auriculares,Este,Online ,3,90.89,"272,67"
2024-12-30,Auriculares,Sur,Online,5,88.71,"443,55"
2025-08-23,Teclado,Este,Distribuidor,1,38.21,"38,21"
2025-11-06,Webcam,Sur,Online,4,64.27,"257,08 €"
2024-12-01,Auriculares,Sur,Tienda,4,85.74,"342,96 €"
2025-03-02,Monitor,Norte,Online,5,214.66,"1.073,30 €"
2025-10-08,WEBCAM,Este,Online,3,62.81,"188,43 €"
2024-01-31,Teclado,Este,Tienda,5,43.62,"218,10"
2024-04-22,Teclado,Oeste,Tienda física,1,47.9,"47,90"
2025-11-26,Auriculares,Sur,ONLINE,2,88.93,"177,86"
28/12/2025,Monitor,Centro,Distribuidor,1,181.12,"€181,12"
2025-11-07,Teclado,Norte,Tienda,-2,47.14,"94,28"
2024-08-20,Mouse,CENTRO,Online,2,24.98,"49,96"
2025-01-20,Teclado,Sur,Tienda,2,45.71,"91,42"
2024-07-02,Mouse,Norte,Tienda,5,24.66,"123,30"
2024-04-06,AURICULARES,Centro,Distribuidor,2,72.77,"145,54 €"
2024-01-09,Auriculares,  OESTE ,Tienda,2,95.12,"190,24"
2024-11-28,Auriculares,Sur,Tienda,3,89.06,"267,18"
2025-10-15,Teclado,Sur,Tienda,4,44.66,"178,64 €"
2025-10-13,Monitor,Oeste,Online,4,221.83,"887,32"
2024-04-01,Mouse,Este,Tienda,3,25.32,"634,62"
2024-01-01,Monitor,Norte,ONLINE,3,228.07,"684,21 €"
2025-12-05,AURICULARES,Norte,Online,4,92.62,"370,48"
2024-12-25,Mouse,  Centro ,Online,1,26.11,"26,11 €"
2024-11-22,Auriculares,Este,Distribuidor,3,72.3,"216,90"
2024-04-17,Monitor,Centro,Online ,5,225.05,"1.125,25"
2024-09-10, Monitor,Este,Distribuidor,4,192.27,"769,08"
2025-01-16,Teclado,  Centro ,Online,3,45.69,"137,07"
2024-10-27,Teclado,Sur,Online,2,45.72,"91,44 €"
10-04-2024,Teclado,Norte,Online,3,44.86,"134,58"
2024-06-02,Auriculares,Norte,Online,1,88.03,"88,03"
2025-08-18,Mouse,Oeste,ON-LINE,1,24.32,"24,32 €"
2024-06-29,AURICULARES,Norte,Tienda,4,87.38,"349,52 €"
2025-11-05,Teclado,Este,TIENDA,1,47.03,"€47,03"
2025-01-14,Monitor,Centro,Distribuidor,1,185.03,"185,03"
2024-08-11,Mouse,Norte,Online,1,24.46,"24,46"
2024-11-16,Auriculares,este,Online,4,90.07,"360,28"
2025-04-12,Mouse,Este,Distrib.,3,20.56,"61,68 €"
,Mouse,Norte,Tienda,3,25.45,"76,35"
2024-05-23,Webcam,Centro,Distribuidor,2,52.9,"105,80"
2024-11-07,Auriculares,Norte,Online,5,88.08,"440,40 €"
2024-12-27,Mouse,Centro,Tienda física,3,24.27,"72,81"
2025-10-21,Mouse,Norte,Tienda Fisica,2,n/a,"51,42 €"
2024-11-01,Mouse,Sur,tienda,4,24.87,"99,48"
2024-12-08,Mouse,Sur,Online ,1,24.42,"24,42"
2024-03-19,Mouse,Norte,Online,3,23.71,"71,13 €"
2024-02-26,Mouse,Centro,Online,4,24.47,"97,88"
2025-11-10,Mouse,Norte,Tienda,3,25.86,"77,58"
2025-11-01,Teclado,Oeste,Tienda,3,46.47,"139,41 €"
2025-05-13,Teclado,Este,Online,null,43.26,"43,26"
01/07/2025,Teclado,Este,Online ,3,43.04,"129,12 €"
2025-05-30,Auriculares,CENTRO,Online,,91.06,"91,06"
2025-05-31,Auriculares,Sur,Online,2,91.31,"182,62"
2024-06-12,TECLADO,Sur,Online,2,44.7,"89,40 €"
2025-01-09,Teclado,Centro,Distribuidor,1,37.58,"37,58"
2024-06-12,Mouse,Sur,Tienda,3,26.23,"78,69"
2025-12-22,Webcam,Norte,Online,1,64.33,"64,33"
2024-12-24,Mouse,Este,Tienda Fisica,4,24.45,"97,80 €"
2024-10-25,Auriculares,Oeste,Tienda,5,85.83,"429,15"
2025-06-23,Teclado,Norte,Online,1,43.12,"43,12"
2024-11-12,Monitor,Oeste,Tienda Fisica,1,215.15,"215,15"
2025-06-12,Teclado,este,Tienda,1,44.15,"44,15"
2025-12-14,Teclado,Sur,Distribuidor,5,36.86,"184,30"
,Teclado,?,DISTRIBUIDOR,5,37.78,"€188,90 €"
2025-06-29,Mouse,Centro,tienda,1,25.0,"25,00"
2025-09-21,Auriculares,Centro,Online,4,93.03,"372,12"
2025-01-21,Auriculares,Oeste,Tienda,4,92.6,"370,40"
2025-06-20,Auriculares,Oeste,Distribuidor,3,74.19,"222,57"
2024-03-15,Monitor,Oeste,Distribuidor,3,177.37,"532,11"
2024-11-25,Mouse,Centro,on-line,5,24.82,"124,10"
2024-12-07,Teclado,Norte,Tienda,2,46.88,"93,76"
,Monitor,Norte,Online,3,221.25,"663,75"
2024-11-22,Mouse,Norte,Tienda,3,23.42,"70,26 €"
2025-06-27,Monitor,  Norte ,Online,5,212.96,"1.064,80"
2024-03-25,Auriculares,Norte,Distribuidor,1,73.11,"73,11"
2025-09-09,Teclado,Centro,Online,5,44.8,"224,00 €"
2024-01-21,Auriculares,Oeste,Online,1,89.48,"89,48 €"
2024-11-03,Auriculares,Centro,Tienda,2,89.33,"178,66 €"
2025-10-22,Auriculares,Norte,Online,5,93.15,"336,90"
2024-03-02,Mouse,Norte,Online,4,22.94,"91,76"
2024-10-29,Mouse,Este,Online,4,24.34,"97,36"
2024-03-27,Mouse,Norte,Tienda,5,24.89,"124,45"
2024-04-11,Webcam,Norte,Online,1,64.09,"64,09"
01-27-2025,Mouse,Centro,Distribuidor,3,19.89,"59,67 €"
2024-02-06,Teclado,Norte,Tienda,2,44.99,"89,98"
2024-11-15,Webcam,  Oeste ,Online,3,65.05,"195,15"
2024-06-28,Mouse,desconocida,Distribuidor,2,20.78,"41,56"
2025-11-08,Mouse,Centro,distribuidor,4,20.24,"80,96"
2025-04-04,Auriculares,Sur,Tienda,2,90.42,"180,84"
2025-02-24,Webcam,Oeste,Online,4,62.67,"250,68"
2025-03-19,Auriculares,Centro,Tienda,5,92.41,"462,05 €"
2024-12-04,Teclado,Oeste,Tienda,1,45.71,"45,71 €"
2024-12-15,Mouse,Oeste,Distribuidor,1,20.58,"€20,58"
2025-10-14,Teclado,Centro,Tienda,1,44.55,"248,09"
2025-03-10,Auriculares,norte,Online,2,90.01,"180,02"
2024-11-20,Monitor,Norte,Online,4,NULL,"882,60"
2024-10-08,Webcam,Este,Tienda,3,61.28,"183,84 €"
2024-04-11,Auriculares,Norte,Tienda,4,93.42,"373,68 €"
09/10/2024,Auriculares,Oeste,Tienda,1,87.56,"87,56 €"
2025-12-30,Mouse,Oeste,on-line,1,25.25,"25,25 €"
2024-11-03,Mouse,Norte,online,1,25.26,"25,26"
24/03/2024,Auriculares,Este,Online,2,93.97,"187,94"
2025-09-13,Teclado,NORTE,Distribuidor,2,37.04,"74,08"
2024-04-14,Mouse,Norte,Distribuidor,4,20.82,"83,28 €"
2025-12-23,Monitor,Este,Online,5,225.11,"1.125,55"
2025-11-02,Monitor,Norte,on-line,5,212.07,"€1.060,35 €"
2025-03-14,Monitor,Sur,Tienda,5,210.21,"1.051,05 €"
2025-12-28,Teclado,Oeste,Online,1,46.79,"€46,79"
2025-04-24,Monitor,Norte,Tienda,4,229.44,"€917,76"
2024-10-02,Teclado,Norte,Online,3,46.16,"€138,48"
2024-12-04,Auriculares,Oeste,Distribuidor,3,74.67,"224,01"
2024-12-29,Mouse,Este,Online,4,24.16,"96,64 €"
12-04-2024,Webcam,Sur,Online,3,64.73,"194,19"
2024-03-07,Monitor,Este,Tienda física,3,217.68,"653,04"
2024-08-26,Teclado,Este,distribuidor,3,37.42,"112,26"
2025-08-31,Auriculares,Este,Distribuidor,2,75.08,"150,16 €"
2024-04-17,Webcam,Centro,Tienda,5,62.41,"312,05 €"
2025-10-13, Auriculares,Este,Online,4,90.5,"362,00"
2024-12-24,Auriculares,Norte,ONLINE,2,90.1,"180,20"
2025-09-24,Mouse,Norte,Online,5,22.88,"114,40 €"
2025-09-04,Auriculares,Este,Tienda,2,92.31,"184,62"
2024-07-16,Auriculares,Centro,Tienda,3,88.04,"264,12 €"
2024-02-28,Auriculares,Centro,Tienda,2,n/a,"175,16"
2024-06-14,Webcam,Centro,Online,2,63.44,"126,88 €"
2025-08-14,Auriculares,,Distribuidor,2,70.26,"140,52 €"
2024-05-01,Auriculares,Norte,Distribuidor,3,73.15,"219,45 €"
2024-06-18,Mouse,Oeste,Tienda,3,25.93,"77,79 €"
2025-04-15,Auriculares,Norte,Distribuidor,2,72.95,"145,90"
06-23-2025,Auriculares,Oeste,Tienda,4,93.38,"373,52 €"
2025-11-08,Monitor,Oeste,Tienda Fisica,1,218.95,"218,95"
,Auriculares,Norte,on-line,4,95.18,"380,72"
2024-09-09,Teclado,Este,Distribuidor,1,37.95,"37,95 €"
12-24-2024,Monitor,Norte,Distribuidor,null,184.15,"552,45 €"
2024-11-11,Webcam,Norte,Distribuidor,5,49.13,"245,65 €"
2024-12-23, Webcam,Centro,Online,-,65.08,"195,24 €"
2025-08-16,Mouse,Norte,Online,2,24.25,"48,50 €"
2025-02-05,Auriculares,oeste,Online,5,88.65,"443,25"
2024-01-24,Mouse,OESTE,Tienda física,4,25.5,"102,00"
